<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
11/01/10,00:00,192.5500000,196.9000000,191.0000000,194.5000000,59465172
12/01/10,00:00,194.1000000,195.8000000,190.5500000,191.8000000,43441242
13/01/10,00:00,189.8000000,191.8600000,188.3000000,189.3000000,52375480
14/01/10,00:00,191.1900000,191.4600000,188.8800000,190.8300000,41093689
15/01/10,00:00,190.0000000,192.1000000,187.2500000,187.8600000,55517101
18/01/10,00:00,186.9700000,190.5000000,186.6000000,190.4000000,36485483
19/01/10,00:00,190.1400000,190.4700000,187.3600000,189.7600000,48577626
20/01/10,00:00,189.2000000,189.9000000,185.8200000,185.9800000,46820582
21/01/10,00:00,187.1600000,187.1900000,182.3000000,182.7600000,62742166
22/01/10,00:00,181.4900000,183.0000000,178.5100000,181.5000000,62766728
25/01/10,00:00,179.0000000,184.3900000,178.9400000,182.8500000,48596806
26/01/10,00:00,180.0100000,182.5000000,177.1000000,181.2900000,58930064
27/01/10,00:00,180.7000000,183.9500000,178.0000000,182.0100000,66478271
28/01/10,00:00,183.7500000,185.9800000,181.6700000,182.3000000,62483023
29/01/10,00:00,180.5200000,186.4700000,179.9000000,186.4400000,58421953
