<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/09/07,00:00,3375.0000000,3375.0000000,3150.0000000,3160.0000000,4135
01/10/07,00:00,3130.0000000,3150.0000000,2990.0000000,3100.0000000,5735
01/11/07,00:00,3175.0000000,3320.0000000,3175.0000000,3205.0000000,5965
01/12/07,00:00,3275.0000000,3300.0000000,3250.0000000,3280.0000000,2200
01/15/07,00:00,3340.0000000,3380.0000000,3330.0000000,3380.0000000,1170
01/16/07,00:00,3450.0000000,3571.0000000,3450.0000000,3571.0000000,1135
01/17/07,00:00,3630.0000000,3630.0000000,3450.0000000,3450.0000000,2043
01/18/07,00:00,3480.0000000,3480.0000000,3400.0000000,3400.0000000,400
01/19/07,00:00,3430.0000000,3430.0000000,3400.0000000,3410.0000000,950
01/22/07,00:00,3500.0000000,3500.0000000,3450.0000000,3450.0000000,400
01/23/07,00:00,3500.0000000,3510.0000000,3470.0000000,3470.0000000,360
01/24/07,00:00,3453.0000000,3453.0000000,3453.0000000,3453.0000000,200
01/25/07,00:00,3465.0000000,3535.0000000,3303.3951600,3535.0000000,8197
01/26/07,00:00,3520.0000000,3520.0000000,3500.0000000,3509.1955300,1533
01/29/07,00:00,3465.0000000,3465.0000000,3300.0000000,3300.0000000,1400
01/30/07,00:00,3250.0000000,3250.0000000,3095.0000000,3220.0000000,4701
01/31/07,00:00,3246.0000000,3300.0000000,3100.0000000,3300.0000000,5369
02/01/07,00:00,3360.0000000,3465.0000000,3360.0000000,3465.0000000,3010
02/02/07,00:00,3520.0000000,3520.0000000,3300.0000000,3450.0000000,1090
02/05/07,00:00,3420.0000000,3435.0000000,3410.0000000,3435.0000000,400
02/06/07,00:00,3430.0000000,3450.0000000,3430.0000000,3450.0000000,250
02/07/07,00:00,3440.0000000,3460.0000000,3435.0000000,3435.0000000,320
02/08/07,00:00,3380.0000000,3410.0000000,3380.0000000,3410.0000000,1400
02/09/07,00:00,3440.0000000,3440.0000000,3382.0000000,3390.0000000,995
02/12/07,00:00,3400.0000000,3400.0000000,3371.0000000,3380.0000000,1050
02/13/07,00:00,3360.0000000,3455.0000000,3355.0000000,3455.0000000,962
02/14/07,00:00,3460.0000000,3505.0000000,3388.1308600,3505.0000000,1606
02/15/07,00:00,3530.0000000,3600.0000000,3500.0000000,3575.0000000,1390
02/16/07,00:00,3564.0000000,3564.0000000,3495.0000000,3510.0000000,2140
02/19/07,00:00,3560.0000000,3580.0000000,3530.0000000,3530.0000000,1710
02/20/07,00:00,3520.0000000,3545.0000000,3520.0000000,3535.0000000,1250
02/21/07,00:00,3540.0000000,3570.0000000,3500.0000000,3545.0000000,2780
02/22/07,00:00,3575.0000000,3690.0000000,3575.0000000,3690.0000000,2100
02/26/07,00:00,3725.0000000,3810.0000000,3725.0000000,3780.0000000,5770
02/27/07,00:00,3740.0000000,3740.0000000,3640.0000000,3680.0000000,8835
02/28/07,00:00,3550.0000000,3750.0000000,3525.0000000,3750.0000000,10520
03/01/07,00:00,3668.0000000,3678.0000000,3430.0000000,3522.0000000,5633
03/02/07,00:00,3520.0000000,3530.0000000,3460.0000000,3485.0000000,3150
03/05/07,00:00,3330.0000000,3500.0000000,3260.0000000,3480.0000000,9650
03/06/07,00:00,3500.0000000,3505.0000000,3495.0000000,3505.0000000,750
03/07/07,00:00,3510.0000000,3510.0000000,3124.6189000,3124.6189000,403
03/09/07,00:00,3550.0000000,3565.0000000,3550.0000000,3565.0000000,478
03/12/07,00:00,3511.0000000,3530.0000000,3511.0000000,3530.0000000,670
03/13/07,00:00,3500.0000000,3515.0000000,3490.0000000,3515.0000000,1200
03/14/07,00:00,3400.0000000,3526.5185600,3380.0000000,3455.0000000,5610
03/15/07,00:00,3500.0000000,3500.0000000,3440.0000000,3440.0000000,1300
03/16/07,00:00,3465.0000000,3487.0000000,3465.0000000,3465.0000000,1050
03/19/07,00:00,3481.0000000,3500.0000000,3481.0000000,3500.0000000,420
03/20/07,00:00,3495.0000000,3495.0000000,3495.0000000,3495.0000000,100
03/21/07,00:00,3460.0000000,3470.0000000,3460.0000000,3470.0000000,1260
03/22/07,00:00,3500.0000000,3600.0000000,3500.0000000,3600.0000000,2100
03/23/07,00:00,3600.0000000,3670.0000000,3600.0000000,3670.0000000,700
03/26/07,00:00,3620.0000000,3660.0000000,3560.0459000,3625.0000000,3390
03/27/07,00:00,3604.7092300,3604.7092300,3580.0000000,3600.0000000,1454
03/28/07,00:00,3575.0000000,3580.0000000,3560.0000000,3560.0000000,220
03/29/07,00:00,3570.0000000,3585.0000000,3565.0000000,3585.0000000,1890
03/30/07,00:00,3565.0000000,3565.0000000,3565.0000000,3565.0000000,200
04/02/07,00:00,3540.0000000,3560.0000000,3525.0000000,3560.0000000,910
04/03/07,00:00,3570.0000000,3585.0000000,3560.0000000,3560.0000000,800
04/04/07,00:00,3252.0136700,3590.0000000,3252.0136700,3590.0000000,821
04/05/07,00:00,3595.0000000,3660.0000000,3595.0000000,3655.0000000,2969
04/06/07,00:00,3700.0000000,3715.0000000,3700.0000000,3715.0000000,609
04/09/07,00:00,3780.0000000,3850.0000000,3702.9609400,3810.0000000,1105
04/10/07,00:00,3841.0000000,3890.0000000,3841.0000000,3858.0000000,1266
04/11/07,00:00,3865.0000000,3925.0000000,3845.0000000,3925.0000000,3742
04/12/07,00:00,3864.0000000,3864.0000000,3820.0000000,3830.0000000,1545
04/13/07,00:00,3900.0000000,3985.0000000,3846.9418900,3985.0000000,4028
04/16/07,00:00,3986.0000000,3994.0000000,3985.0000000,3985.0000000,1099
04/17/07,00:00,3975.0000000,4010.0000000,3970.0000000,3985.0000000,600
04/18/07,00:00,4010.0000000,4010.0000000,3910.0000000,3910.0000000,916
04/19/07,00:00,3920.0000000,3920.0000000,3830.0000000,3895.0000000,1850
04/20/07,00:00,3950.0000000,3980.0000000,3940.0000000,3975.0000000,1280
04/23/07,00:00,3976.0000000,3980.0000000,3945.7314400,3970.0000000,1178
04/24/07,00:00,3970.0000000,3970.0000000,3905.0217300,3905.0217300,1090
04/25/07,00:00,3965.0000000,4050.0000000,3965.0000000,3995.0000000,1930
04/26/07,00:00,4010.0000000,4010.0000000,3970.0000000,3970.0000000,1000
04/27/07,00:00,3940.0000000,3940.0000000,3890.0000000,3890.0000000,1500
04/28/07,00:00,3955.0000000,3965.0000000,3955.0000000,3965.0000000,200
05/02/07,00:00,3975.0000000,4000.0000000,3975.0000000,3990.0000000,2503
05/03/07,00:00,4020.0000000,4020.0000000,3970.0000000,3975.0000000,1450
05/04/07,00:00,4000.0000000,4000.0000000,4000.0000000,4000.0000000,100
05/07/07,00:00,4000.0000000,4000.0000000,4000.0000000,4000.0000000,100
05/08/07,00:00,3990.0000000,4010.0000000,3980.0000000,4010.0000000,1050
05/10/07,00:00,4005.0000000,4085.0000000,3990.0000000,4010.0000000,3737
05/11/07,00:00,3970.0000000,3970.0000000,3850.0000000,3850.0000000,1050
05/14/07,00:00,3945.0000000,3945.0000000,3820.0000000,3860.0000000,885
05/15/07,00:00,3820.0000000,3820.0000000,3780.0000000,3785.0000000,1150
05/16/07,00:00,3785.0000000,3800.0000000,3777.0000000,3795.0000000,1950
05/17/07,00:00,3820.0000000,3820.0000000,3770.0000000,3770.0000000,950
05/18/07,00:00,3790.0000000,3825.0000000,3770.0000000,3820.0000000,632
